"month","ABQ","ACK","ALB","ANC","ATL","AUS","AVL","BDL","BGR","BHM","BNA","BOS","BQN","BTV","BUF","BUR","BWI","BZN","CAE","CAK","CHO","CHS","CLE","CLT","CMH","CRW","CVG","DAY","DCA","DEN","DFW","DSM","DTW","EGE","EYW","FLL","GRR","GSO","GSP","HDN","HNL","HOU","IAD","IAH","ILM","IND","JAC","JAX","LAS","LAX","LEX","LGA","LGB","MCI","MCO","MDW","MEM","MHT","MIA","MKE","MSN","MSP","MSY","MTJ","MVY","MYR","OAK","OKC","OMA","ORD","ORF","PBI","PDX","PHL","PHX","PIT","PSE","PSP","PVD","PWM","RDU","RIC","ROC","RSW","SAN","SAT","SAV","SBN","SDF","SEA","SFO","SJC","SJU","SLC","SMF","SNA","SRQ","STL","STT","SYR","TPA","TUL","TVC","TYS","XNA"
1,NA,NA,64,NA,1396,169,2,37,NA,25,399,1245,93,223,426,37,312,4,9,62,NA,91,421,1058,265,27,289,80,865,563,806,27,787,62,1,1161,98,91,57,4,62,146,490,564,NA,118,2,209,459,1159,NA,NA,52,139,1175,340,133,109,981,242,27,546,245,4,NA,31,20,27,51,1269,143,597,84,191,369,283,31,4,30,253,733,192,188,304,204,54,33,NA,79,253,889,20,486,197,20,56,116,362,70,133,600,27,NA,52,95
2,NA,NA,58,NA,1267,167,NA,46,NA,23,387,1182,82,189,393,28,273,4,8,56,NA,71,380,997,244,24,255,83,839,521,723,24,720,56,NA,1073,90,82,52,4,56,132,435,525,NA,109,3,223,408,1030,NA,NA,49,127,1110,316,120,102,902,216,47,486,256,4,NA,14,17,24,48,1197,135,605,72,143,354,234,28,4,41,234,649,175,166,355,185,50,43,NA,71,224,791,15,434,185,15,48,111,318,64,132,558,24,NA,47,84
3,NA,NA,57,NA,1448,273,NA,62,2,26,501,1324,93,257,373,31,182,5,9,77,26,217,414,1156,285,26,372,149,917,643,784,26,775,62,5,1238,79,139,57,5,62,137,482,612,NA,155,5,225,454,1178,NA,NA,55,170,1265,347,160,62,1017,247,31,568,307,5,NA,10,23,26,57,1343,187,708,84,139,433,232,31,5,49,230,757,162,228,514,200,57,67,NA,103,308,884,21,552,222,21,52,129,349,64,124,656,26,NA,53,89
4,9,NA,13,NA,1490,209,3,61,29,26,515,1305,68,223,337,30,112,NA,8,82,5,269,402,1113,334,26,357,148,837,586,751,26,775,7,1,1112,78,134,59,NA,60,136,423,610,NA,179,NA,204,472,1382,NA,NA,59,189,1223,341,160,82,971,244,27,608,290,NA,NA,1,27,29,50,1416,153,648,87,131,394,242,30,4,11,229,690,186,202,449,225,56,86,NA,100,276,1116,30,497,211,25,55,121,356,59,121,648,25,NA,52,92
5,31,21,59,NA,1499,204,35,57,29,27,563,1327,64,256,390,31,101,NA,9,85,NA,294,414,1167,301,27,362,155,882,611,761,49,800,NA,NA,919,59,136,87,NA,62,146,506,627,NA,149,NA,234,568,1453,NA,NA,58,247,1125,349,162,96,991,254,31,611,354,NA,20,NA,25,31,28,1582,92,459,88,121,400,207,31,NA,88,215,707,201,171,244,237,58,90,NA,112,335,1198,31,412,213,26,79,93,372,39,162,620,27,NA,53,94
6,30,43,34,NA,1438,203,40,48,28,27,556,1312,90,264,398,30,107,3,9,80,NA,262,390,1180,263,8,329,152,777,636,696,49,807,NA,NA,901,25,117,56,NA,60,193,474,610,NA,177,NA,214,535,1430,NA,NA,58,161,1160,340,153,130,954,230,30,604,323,NA,37,1,30,30,75,1547,121,454,136,152,399,208,30,NA,38,200,677,177,174,205,253,59,68,NA,99,398,1200,30,503,211,30,75,90,356,40,126,603,29,16,55,87
7,31,66,15,4,1511,213,40,2,30,29,574,1378,93,236,394,31,118,8,9,85,NA,306,368,1260,298,NA,333,135,813,649,721,76,837,NA,NA,938,51,120,54,NA,62,205,508,618,NA,103,NA,241,521,1500,NA,1,62,184,1257,356,158,82,978,232,30,636,332,NA,65,2,31,30,82,1573,101,467,158,149,399,232,31,NA,6,250,702,216,219,213,266,62,61,NA,125,431,1231,31,589,215,31,75,93,366,39,148,633,26,41,52,92
8,31,67,20,4,1507,211,35,50,30,30,567,1377,86,214,369,31,141,8,9,84,NA,278,377,1234,320,NA,337,139,800,644,719,56,839,NA,NA,939,57,119,53,NA,62,206,472,615,NA,166,NA,242,565,1505,NA,NA,62,173,1262,350,162,101,975,235,31,624,330,NA,68,NA,31,30,79,1604,91,452,157,151,384,224,31,NA,9,207,676,208,205,209,264,59,71,1,110,428,1266,31,561,215,31,79,93,352,33,150,636,26,44,52,89
9,30,45,20,NA,1364,205,30,39,56,25,568,1307,47,145,414,30,134,NA,9,80,21,277,363,1222,316,NA,341,122,774,588,699,56,764,NA,NA,807,72,178,74,NA,55,201,512,576,21,197,NA,250,546,1384,NA,NA,50,161,1022,339,151,82,912,226,72,612,328,NA,23,NA,30,30,97,1582,138,401,121,124,336,263,30,NA,31,136,640,218,177,169,226,58,79,5,99,361,1196,30,396,204,23,76,89,355,10,178,565,26,NA,50,83
10,31,23,1,NA,1448,214,31,9,60,27,578,1357,39,238,449,31,124,NA,9,58,NA,296,352,1297,340,NA,358,130,781,613,724,85,813,NA,NA,895,54,221,85,NA,52,209,521,623,31,237,NA,241,562,1409,NA,NA,49,172,1113,356,156,85,971,224,85,684,350,NA,8,NA,29,31,88,1604,128,448,123,131,391,269,31,NA,35,137,699,238,174,215,237,58,84,1,108,337,1220,31,408,208,20,81,93,398,12,135,606,27,NA,53,92
11,30,NA,46,NA,1384,186,30,3,55,22,553,1235,56,165,363,30,98,NA,8,55,NA,256,316,1187,273,NA,319,118,741,579,671,55,735,NA,NA,964,51,155,101,NA,55,194,488,611,29,258,NA,221,474,1336,1,NA,54,159,1151,329,144,36,972,220,81,613,360,NA,NA,NA,24,29,97,1370,115,563,115,104,399,243,30,NA,10,113,600,220,279,303,222,56,58,2,72,279,1161,31,429,190,17,73,89,368,28,157,643,25,NA,56,72
12,31,NA,52,NA,1463,185,29,29,56,10,572,1159,85,179,375,31,79,4,20,60,NA,267,376,1193,285,NA,289,114,679,633,683,40,732,26,10,1108,51,114,114,2,59,210,389,607,29,229,15,216,433,1408,NA,NA,60,126,1219,350,130,42,1104,232,80,593,324,2,NA,NA,25,29,97,1196,132,752,129,96,398,238,31,2,28,148,633,261,233,357,218,59,64,1,79,293,1179,28,552,196,25,76,94,387,64,195,698,27,NA,56,67
