MODEL_ID,MODEL_TYPE_CD,PRIMARY_IND
WOS100,WOS,N
WOS1000,WOS,N
WOS1200,WOS,N
WOS1400,WOS,N
WOS150,WOS,N
WOS200,WOS,Y
WOS250,WOS,N
WOS300,WOS,N
WOS350,WOS,N
WOS400,WOS,N
WOS450,WOS,N
WOS050,WOS,N
WOS500,WOS,N
WOS600,WOS,N
WOS700,WOS,N
WOS800,WOS,N
CONST1,CONST,N
CONST2,CONST,N
CONST3,CONST,N
CONST4,CONST,N
CONST5,CONST,N
CWOS200,CWOS,N
CWOS300,CWOS,N
CWOS400,CWOS,Y
CWOS500,CWOS,N
CWOS600,CWOS,N
CWOS700,CWOS,N
CWOS800,CWOS,N
CWOS900,CWOS,N
CWOS1000,CWOS,N
CWOS1100,CWOS,N
CWOS1200,CWOS,N
CWOS1300,CWOS,N
CWOS1400,CWOS,N
LMS,LMS,N
STDDEV100,STDDEV,N
STDDEV150,STDDEV,N
STDDEV200,STDDEV,N
STDDEV250,STDDEV,N
STDDEV300,STDDEV,N
STDDEV400,STDDEV,N
STDDEV500,STDDEV,N
AOC100000,AOC,N
AOC150000,AOC,N
AOC200000,AOC,N
AOC100200,AOC,N
AOC100400,AOC,N
AOC100600,AOC,N
